name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Tyrone Tormin,https://www.transfermarkt.com/tyrone-tormin/profil/spieler/496601,Second Striker,23,"France, Guadeloupe",,,28,6,2,8,€150k
Petr Pejsa,https://www.transfermarkt.com/petr-pejsa/profil/spieler/501042,Second Striker,26,Czech Republic,,,29,6,2,8,-
Rocco Vata,https://www.transfermarkt.com/rocco-vata/profil/spieler/741229,Second Striker,19,"Ireland, Albania",,,37,4,4,8,€1.80m
Thomas Müller,https://www.transfermarkt.com/thomas-muller/profil/spieler/58358,Second Striker,34,Germany,,,32,3,5,8,€6.00m
Jonathan Pitou,https://www.transfermarkt.com/jonathan-pitou/profil/spieler/800611,Second Striker,19,France,,,33,2,6,8,€225k
Nikola Dovedan,https://www.transfermarkt.com/nikola-dovedan/profil/spieler/120189,Second Striker,29,Austria,,,39,1,7,8,€550k
Oumar Traoré,https://www.transfermarkt.com/oumar-traore/profil/spieler/860231,Second Striker,24,Guinea,,,24,7,0,7,-
Dany Mota,https://www.transfermarkt.com/dany-mota/profil/spieler/347253,Second Striker,26,"Portugal, Luxembourg",,,33,5,2,7,€4.00m
Mohamed Berte,https://www.transfermarkt.com/mohamed-berte/profil/spieler/895402,Second Striker,22,"Belgium, Cote d'Ivoire",,,29,5,2,7,€1.20m
Matteo Della Morte,https://www.transfermarkt.com/matteo-della-morte/profil/spieler/391797,Second Striker,24,Italy,,,36,5,2,7,€400k
Alberto Lunghi,https://www.transfermarkt.com/alberto-lunghi/profil/spieler/678212,Second Striker,21,Italy,,,30,5,2,7,€200k
Álvaro Leiva,https://www.transfermarkt.com/alvaro-leiva/profil/spieler/875306,Second Striker,19,Spain,,,26,4,3,7,€150k
Alessandro Seghetti,https://www.transfermarkt.com/alessandro-seghetti/profil/spieler/913461,Second Striker,20,Italy,,,21,3,4,7,€200k
Carlo Maria Maione,https://www.transfermarkt.com/carlo-maria-maione/profil/spieler/410462,Second Striker,27,Italy,,,30,3,4,7,-
Lukas Masek,https://www.transfermarkt.com/lukas-masek/profil/spieler/671519,Second Striker,20,Czech Republic,,,14,5,1,6,€600k
Gianluca Caprari,https://www.transfermarkt.com/gianluca-caprari/profil/spieler/146752,Second Striker,30,Italy,,,36,4,2,6,€1.00m
Riccardo Forte,https://www.transfermarkt.com/riccardo-forte/profil/spieler/392540,Second Striker,25,Italy,,,30,4,2,6,€200k
Ryder Matos,https://www.transfermarkt.com/ryder-matos/profil/spieler/62713,Second Striker,31,"Brazil, Italy",,,29,4,2,6,€150k
Joaquín Correa,https://www.transfermarkt.com/joaquin-correa/profil/spieler/227081,Second Striker,29,"Argentina, Italy",,,22,2,4,6,€3.00m
Emmanuele Esposito,https://www.transfermarkt.com/emmanuele-esposito/profil/spieler/396955,Second Striker,33,Italy,,,32,2,4,6,€200k
Christian Capone,https://www.transfermarkt.com/christian-capone/profil/spieler/315856,Second Striker,25,Italy,,,27,2,4,6,€175k
Toprak Galitekin,https://www.transfermarkt.com/toprak-galitekin/profil/spieler/481608,Second Striker,23,Austria,,,23,5,0,5,-
Dré Callens,https://www.transfermarkt.com/dre-callens/profil/spieler/1064969,Second Striker,19,Belgium,,,28,5,0,5,-
Denzel Jubitana,https://www.transfermarkt.com/denzel-jubitana/profil/spieler/502893,Second Striker,25,"Suriname, Belgium",,,20,4,1,5,€600k
Óscar Plano,https://www.transfermarkt.com/oscar-plano/profil/spieler/221309,Second Striker,33,Spain,,,30,4,1,5,€500k
Claudio Santini,https://www.transfermarkt.com/claudio-santini/profil/spieler/281872,Second Striker,32,Italy,,,30,4,1,5,€150k
Ünal Durmuşhan,https://www.transfermarkt.com/unal-durmushan/profil/spieler/604753,Second Striker,20,"Türkiye, Germany",,,34,4,1,5,€100k
Armindo Sieb,https://www.transfermarkt.com/armindo-sieb/profil/spieler/569033,Second Striker,21,"Germany, Mozambique",,,29,2,3,5,€3.00m
Matteo Ferro,https://www.transfermarkt.com/matteo-ferro/profil/spieler/821188,Second Striker,20,Italy,,,31,2,3,5,€175k
Gevorg Badalyan,https://www.transfermarkt.com/gevorg-badalyan/profil/spieler/139754,Second Striker,33,Armenia,,,15,3,1,4,-
Diogo Cardoso,https://www.transfermarkt.com/diogo-cardoso/profil/spieler/566982,Second Striker,22,Portugal,,,11,3,1,4,-
Jean-Calvin Mbanga,https://www.transfermarkt.com/jean-calvin-mbanga/profil/spieler/825731,Second Striker,21,"France, Cameroon",,,17,3,1,4,-
Giuseppe Panico,https://www.transfermarkt.com/giuseppe-panico/profil/spieler/287648,Second Striker,27,Italy,,,31,2,2,4,€450k
Antonin Rusek,https://www.transfermarkt.com/antonin-rusek/profil/spieler/318112,Second Striker,25,Czech Republic,,,10,2,2,4,€250k
Álvaro Gómez,https://www.transfermarkt.com/alvaro-gomez/profil/spieler/398165,Second Striker,27,Spain,,,30,2,2,4,€200k
Bryan Labissiere,https://www.transfermarkt.com/bryan-labissiere/profil/spieler/272630,Second Striker,27,"Haiti, France",,,27,2,2,4,-
Dominik Smekal,https://www.transfermarkt.com/dominik-smekal/profil/spieler/293368,Second Striker,26,Czech Republic,,,36,2,2,4,-
Mattia Florio,https://www.transfermarkt.com/mattia-florio/profil/spieler/704423,Second Striker,20,Italy,,,28,1,3,4,€125k
Jan Koudelka,https://www.transfermarkt.com/jan-koudelka/profil/spieler/483640,Second Striker,32,Czech Republic,,,30,1,3,4,€100k
Alessandro Falleni,https://www.transfermarkt.com/alessandro-falleni/profil/spieler/708275,Second Striker,21,Italy,,,34,1,3,4,€100k
Louey Ben Farhat,https://www.transfermarkt.com/louey-ben-farhat/profil/spieler/1045852,Second Striker,17,"Tunisia, Germany",,,12,3,0,3,€3.00m
Flamarion,https://www.transfermarkt.com/flamarion/profil/spieler/465858,Second Striker,27,"Brazil, Georgia",,,15,3,0,3,€500k
Fabián Matula,https://www.transfermarkt.com/fabian-matula/profil/spieler/666261,Second Striker,23,Czech Republic,,,33,3,0,3,-
Conor Chaplin,https://www.transfermarkt.com/conor-chaplin/profil/spieler/349503,Second Striker,27,England,,,23,2,1,3,€6.00m
Ekain Zenitagoia,https://www.transfermarkt.com/ekain-zenitagoia/profil/spieler/512070,Second Striker,30,Spain,,,10,2,1,3,€400k
Dmitriy Yakovlev,https://www.transfermarkt.com/dmitriy-yakovlev/profil/spieler/919389,Second Striker,19,Russia,,,19,2,1,3,€125k
Tyler Roberts,https://www.transfermarkt.com/tyler-roberts/profil/spieler/296986,Second Striker,25,"Wales, England",,,29,1,2,3,€2.00m
Lucas Gabriel,https://www.transfermarkt.com/lucas-gabriel/profil/spieler/827991,Second Striker,22,"Brazil, Portugal",,,13,1,2,3,€200k
Kirill Panchenko,https://www.transfermarkt.com/kirill-panchenko/profil/spieler/106675,Second Striker,34,Russia,,,13,0,3,3,-
Filippo Distefano,https://www.transfermarkt.com/filippo-distefano/profil/spieler/669915,Second Striker,20,Italy,,,14,2,0,2,€1.40m
