name,player_link,position,age,nation,club,league,matches,goals,assists,points(goals+assists),value
Hynek Hübl,https://www.transfermarkt.com/hynek-hubl/profil/spieler/1118057,Left Winger,20,Czech Republic,,,17,5,1,6,-
Couhaib Driouech,https://www.transfermarkt.com/couhaib-driouech/profil/spieler/593837,Left Winger,22,"Morocco, Netherlands",,,19,4,2,6,€4.00m
Gabri Martínez,https://www.transfermarkt.com/gabri-martinez/profil/spieler/906948,Left Winger,21,Spain,,,36,4,2,6,€4.00m
Momodou Lamin Sonko,https://www.transfermarkt.com/momodou-lamin-sonko/profil/spieler/929876,Left Winger,19,"Sweden, The Gambia",,,24,4,2,6,€3.00m
Newerton,https://www.transfermarkt.com/newerton/profil/spieler/1082823,Left Winger,19,Brazil,,,18,4,2,6,€3.00m
Jan Virgili,https://www.transfermarkt.com/jan-virgili/profil/spieler/1301775,Left Winger,17,Spain,,,17,4,2,6,€3.00m
John Mercado,https://www.transfermarkt.com/john-mercado/profil/spieler/659804,Left Winger,22,Ecuador,,,34,4,2,6,€2.50m
Adrián Liso,https://www.transfermarkt.com/adrian-liso/profil/spieler/1061122,Left Winger,19,Spain,,,41,4,2,6,€2.00m
Vando Félix,https://www.transfermarkt.com/vando-felix/profil/spieler/830452,Left Winger,21,Guinea-Bissau,,,29,4,2,6,€1.00m
Cedric Teguia,https://www.transfermarkt.com/cedric-teguia/profil/spieler/536831,Left Winger,22,"Spain, Cameroon",,,36,4,2,6,€800k
Stefan Skrbo,https://www.transfermarkt.com/stefan-skrbo/profil/spieler/589746,Left Winger,23,Austria,,,27,4,2,6,€400k
Álvaro Martín,https://www.transfermarkt.com/alvaro-martin/profil/spieler/622952,Left Winger,23,Spain,,,38,4,2,6,€400k
Salim Ben Seghir,https://www.transfermarkt.com/salim-ben-seghir/profil/spieler/708681,Left Winger,21,France,,,19,4,2,6,€400k
Cédric Nuozzi,https://www.transfermarkt.com/cedric-nuozzi/profil/spieler/859923,Left Winger,18,Belgium,,,18,4,2,6,€350k
Osame Sahraoui,https://www.transfermarkt.com/osame-sahraoui/profil/spieler/580657,Left Winger,23,"Morocco, Norway",,,33,3,3,6,€12.00m
Ji-sung Eom,https://www.transfermarkt.com/ji-sung-eom/profil/spieler/706968,Left Winger,22,"Korea, South",,,40,3,3,6,€1.40m
Julen Lobete,https://www.transfermarkt.com/julen-lobete/profil/spieler/625654,Left Winger,23,Spain,,,37,3,3,6,€1.20m
Ermir Rashica,https://www.transfermarkt.com/ermir-rashica/profil/spieler/972535,Left Winger,20,"Albania, Kosovo",,,8,3,3,6,€600k
Dany Jean,https://www.transfermarkt.com/dany-jean/profil/spieler/628835,Left Winger,21,Haiti,,,30,3,3,6,€550k
Yadaly Diaby,https://www.transfermarkt.com/yadaly-diaby/profil/spieler/806496,Left Winger,23,"Guinea, France",,,28,3,3,6,€500k
Furkan Özhan,https://www.transfermarkt.com/furkan-ozhan/profil/spieler/620107,Left Winger,23,Türkiye,,,36,3,3,6,€300k
Oleg Pushkaryov,https://www.transfermarkt.com/oleg-pushkaryov/profil/spieler/717413,Left Winger,20,Ukraine,,,28,3,3,6,€300k
Naïm Matoug,https://www.transfermarkt.com/naim-matoug/profil/spieler/566933,Left Winger,21,"Netherlands, Algeria",,,33,3,3,6,€250k
Dani Rodríguez,https://www.transfermarkt.com/dani-rodriguez/profil/spieler/834470,Left Winger,18,Spain,,,11,3,3,6,€200k
Mattia Gaddini,https://www.transfermarkt.com/mattia-gaddini/profil/spieler/696619,Left Winger,21,Italy,,,34,3,3,6,€150k
Ibragim Umarov,https://www.transfermarkt.com/ibragim-umarov/profil/spieler/817380,Left Winger,20,Russia,,,26,3,3,6,€150k
Samuel Edozie,https://www.transfermarkt.com/samuel-edozie/profil/spieler/680806,Left Winger,21,"England, Nigeria",,,24,2,4,6,€6.00m
Fabio Baldé,https://www.transfermarkt.com/fabio-balde/profil/spieler/910541,Left Winger,18,"Germany, Portugal",,,24,2,4,6,€2.00m
Jarzinho Malanga,https://www.transfermarkt.com/jarzinho-malanga/profil/spieler/1031774,Left Winger,17,Germany,,,32,2,4,6,€1.70m
Chaka Traorè,https://www.transfermarkt.com/chaka-traore/profil/spieler/700998,Left Winger,19,Cote d'Ivoire,,,20,2,4,6,€1.00m
Raphinha,https://www.transfermarkt.com/raphinha/profil/spieler/411295,Left Winger,27,"Brazil, Italy",,,43,21,16,37,€90.00m
Igor Paixão,https://www.transfermarkt.com/igor-paixao/profil/spieler/653610,Left Winger,24,Brazil,,,36,16,14,30,€35.00m
Kerem Aktürkoğlu,https://www.transfermarkt.com/kerem-akturkoglu/profil/spieler/382528,Left Winger,25,Türkiye,,,41,14,14,28,€24.00m
Emanuele Cicerelli,https://www.transfermarkt.com/emanuele-cicerelli/profil/spieler/265320,Left Winger,29,Italy,,,37,19,8,27,€600k
Armand Laurienté,https://www.transfermarkt.com/armand-lauriente/profil/spieler/579930,Left Winger,25,"France, Guadeloupe",,,34,19,6,25,€15.00m
Donis Avdijaj,https://www.transfermarkt.com/donis-avdijaj/profil/spieler/196227,Left Winger,27,"Kosovo, Germany",,,35,11,14,25,€1.00m
Matthijs Jesse,https://www.transfermarkt.com/matthijs-jesse/profil/spieler/398330,Left Winger,27,Netherlands,,,36,12,12,24,-
Jannik Wanner,https://www.transfermarkt.com/jannik-wanner/profil/spieler/698880,Left Winger,24,Germany,,,32,10,14,24,€300k
Beykan Şimşek,https://www.transfermarkt.com/beykan-simsek/profil/spieler/176341,Left Winger,29,Türkiye,,,32,6,18,24,€200k
Metehan Mimaroğlu,https://www.transfermarkt.com/metehan-mimaroglu/profil/spieler/294100,Left Winger,29,Türkiye,,,35,14,9,23,€400k
Manor Solomon,https://www.transfermarkt.com/manor-solomon/profil/spieler/396638,Left Winger,24,"Israel, Portugal",,,41,10,13,23,€14.00m
Jean-Luc Dompé,https://www.transfermarkt.com/jean-luc-dompe/profil/spieler/291222,Left Winger,28,"France, Cote d'Ivoire",,,33,9,14,23,€3.50m
Noa Lang,https://www.transfermarkt.com/noa-lang/profil/spieler/339332,Left Winger,25,"Netherlands, Suriname",,,34,12,10,22,€25.00m
Cody Gakpo,https://www.transfermarkt.com/cody-gakpo/profil/spieler/434675,Left Winger,25,"Netherlands, Togo",,,41,15,6,21,€70.00m
Luis Díaz,https://www.transfermarkt.com/luis-diaz/profil/spieler/480692,Left Winger,27,Colombia,,,41,14,7,21,€70.00m
Killian van Mil,https://www.transfermarkt.com/killian-van-mil/profil/spieler/562648,Left Winger,24,Netherlands,,,34,13,8,21,-
Rafael Leão,https://www.transfermarkt.com/rafael-leao/profil/spieler/357164,Left Winger,25,"Portugal, Angola",,,40,9,12,21,€70.00m
Josh Murphy,https://www.transfermarkt.com/josh-murphy/profil/spieler/199528,Left Winger,29,"England, Ireland",,,42,7,14,21,€1.00m
Paul Mukairu,https://www.transfermarkt.com/paul-mukairu/profil/spieler/667914,Left Winger,24,Nigeria,,,36,7,14,21,€1.00m
Dereck Kutesa,https://www.transfermarkt.com/dereck-kutesa/profil/spieler/237669,Left Winger,26,"Switzerland, Angola",,,39,16,4,20,€5.00m
Omer Dzonlagic,https://www.transfermarkt.com/omer-dzonlagic/profil/spieler/260163,Left Winger,29,"Switzerland, Bosnia-Herzegovina",,,36,16,4,20,€100k
Antoine Semenyo,https://www.transfermarkt.com/antoine-semenyo/profil/spieler/583255,Left Winger,24,"Ghana, England",,,42,13,7,20,€40.00m
Enes Soy,https://www.transfermarkt.com/enes-soy/profil/spieler/462704,Left Winger,28,Türkiye,,,31,17,2,19,€225k
Liberto Beltrán,https://www.transfermarkt.com/liberto-beltran/profil/spieler/355763,Left Winger,27,Spain,,,33,13,6,19,€300k
Elias Pasche,https://www.transfermarkt.com/elias-pasche/profil/spieler/524384,Left Winger,25,Switzerland,,,35,16,2,18,€400k
Cheikh Sabaly,https://www.transfermarkt.com/cheikh-sabaly/profil/spieler/568696,Left Winger,25,Senegal,,,34,15,3,18,€4.00m
Ahmed Kutucu,https://www.transfermarkt.com/ahmed-kutucu/profil/spieler/452084,Left Winger,24,"Türkiye, Germany",,,38,11,7,18,€5.00m
Martin Kramaric,https://www.transfermarkt.com/martin-kramaric/profil/spieler/318705,Left Winger,26,Slovenia,,,33,11,7,18,€900k
Bruma,https://www.transfermarkt.com/bruma/profil/spieler/139396,Left Winger,29,"Portugal, Guinea-Bissau",,,33,10,8,18,€7.00m
Filip Bilbija,https://www.transfermarkt.com/filip-bilbija/profil/spieler/602796,Left Winger,24,Germany,,,35,9,9,18,€2.50m
Moses Simon,https://www.transfermarkt.com/moses-simon/profil/spieler/274862,Left Winger,28,Nigeria,,,33,8,10,18,€12.00m
Delano Asante,https://www.transfermarkt.com/delano-asante/profil/spieler/662222,Left Winger,24,"Netherlands, Ghana",,,32,7,11,18,-
Linton Maina,https://www.transfermarkt.com/linton-maina/profil/spieler/335103,Left Winger,25,"Germany, Kenya",,,31,5,13,18,€4.00m
Barış Alper Yılmaz,https://www.transfermarkt.com/baris-alper-yilmaz/profil/spieler/541537,Left Winger,24,Türkiye,,,37,13,4,17,€21.00m
Oliver Edvardsen,https://www.transfermarkt.com/oliver-edvardsen/profil/spieler/374326,Left Winger,25,Norway,,,27,13,4,17,€5.00m
Ewerton,https://www.transfermarkt.com/ewerton/profil/spieler/456893,Left Winger,27,Brazil,,,28,13,4,17,€2.80m
Hüseyin Bulut,https://www.transfermarkt.com/huseyin-bulut/profil/spieler/342971,Left Winger,25,"Türkiye, Germany",,,32,13,4,17,€175k
Luis Chacón,https://www.transfermarkt.com/luis-chacon/profil/spieler/473402,Left Winger,24,Spain,,,36,12,5,17,€500k
Javi Ontiveros,https://www.transfermarkt.com/javi-ontiveros/profil/spieler/298983,Left Winger,26,Spain,,,37,11,6,17,€2.50m
Jonathan Dubasin,https://www.transfermarkt.com/jonathan-dubasin/profil/spieler/628621,Left Winger,24,"Spain, Belgium",,,39,8,9,17,€2.50m
Miguel Cardoso,https://www.transfermarkt.com/miguel-cardoso/profil/spieler/348425,Left Winger,30,Portugal,,,33,8,9,17,€2.00m
Vasil Kusej,https://www.transfermarkt.com/vasil-kusej/profil/spieler/396235,Left Winger,24,Czech Republic,,,30,7,10,17,€4.00m
Benny,https://www.transfermarkt.com/benny/profil/spieler/375380,Left Winger,24,Portugal,,,38,7,10,17,€600k
Andrézinho,https://www.transfermarkt.com/andrezinho/profil/spieler/647125,Left Winger,27,Portugal,,,37,7,10,17,€550k
Jari Vandeputte,https://www.transfermarkt.com/jari-vandeputte/profil/spieler/258827,Left Winger,28,Belgium,,,37,4,13,17,€3.20m
Javi Puado,https://www.transfermarkt.com/javi-puado/profil/spieler/408471,Left Winger,26,Spain,,,35,12,4,16,€10.00m
Raúl Sánchez,https://www.transfermarkt.com/raul-sanchez/profil/spieler/536619,Left Winger,26,Spain,,,36,12,4,16,€900k
Andrey Mostovoy,https://www.transfermarkt.com/andrey-mostovoy/profil/spieler/362570,Left Winger,26,Russia,,,36,11,5,16,€4.00m
Renaldo Cephas,https://www.transfermarkt.com/renaldo-cephas/profil/spieler/879028,Left Winger,24,Jamaica,,,32,11,5,16,€1.30m
Marcus Rashford,https://www.transfermarkt.com/marcus-rashford/profil/spieler/258923,Left Winger,26,"England, St. Kitts & Nevis",,,31,10,6,16,€50.00m
Eren Karadağ,https://www.transfermarkt.com/eren-karadag/profil/spieler/605194,Left Winger,24,Türkiye,,,38,9,7,16,€400k
Jakub Selnar,https://www.transfermarkt.com/jakub-selnar/profil/spieler/572241,Left Winger,24,Czech Republic,,,30,9,7,16,€250k
Leandro Trossard,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,Left Winger,29,Belgium,,,42,8,8,16,€22.00m
Cristian Carracedo,https://www.transfermarkt.com/cristian-carracedo/profil/spieler/294388,Left Winger,28,Spain,,,40,5,11,16,€800k
Awer Mabil,https://www.transfermarkt.com/awer-mabil/profil/spieler/255729,Left Winger,28,"Australia, Southern Sudan",,,24,4,12,16,€300k
Myrto Uzuni,https://www.transfermarkt.com/myrto-uzuni/profil/spieler/315289,Left Winger,29,Albania,,,18,14,1,15,€7.50m
Elias Franco,https://www.transfermarkt.com/elias-franco/profil/spieler/938662,Left Winger,28,Brazil,,,18,14,1,15,-
Kaoru Mitoma,https://www.transfermarkt.com/kaoru-mitoma/profil/spieler/504849,Left Winger,27,Japan,,,41,11,4,15,€40.00m
Roger Brugué,https://www.transfermarkt.com/roger-brugue/profil/spieler/557057,Left Winger,27,Spain,,,37,11,4,15,€2.00m
Denis Lanka,https://www.transfermarkt.com/denis-lanka/profil/spieler/260042,Left Winger,27,Czech Republic,,,23,10,5,15,-
Alex Iwobi,https://www.transfermarkt.com/alex-iwobi/profil/spieler/242631,Left Winger,28,"Nigeria, England",,,44,9,6,15,€28.00m
Nuno Moreira,https://www.transfermarkt.com/nuno-moreira/profil/spieler/461937,Left Winger,25,Portugal,,,23,9,6,15,€3.00m
Rafiki Saïd,https://www.transfermarkt.com/rafiki-said/profil/spieler/780147,Left Winger,24,"Comoros, France",,,37,9,6,15,€2.00m
Jon Morcillo,https://www.transfermarkt.com/jon-morcillo/profil/spieler/455349,Left Winger,25,Spain,,,40,9,6,15,€1.50m
Mattia Zaccagni,https://www.transfermarkt.com/mattia-zaccagni/profil/spieler/283735,Left Winger,29,Italy,,,36,8,7,15,€20.00m
Jaidon Anthony,https://www.transfermarkt.com/jaidon-anthony/profil/spieler/684210,Left Winger,24,"England, Jamaica",,,43,8,7,15,€9.00m
Oleksandr Nazarenko,https://www.transfermarkt.com/oleksandr-nazarenko/profil/spieler/495920,Left Winger,24,Ukraine,,,31,7,8,15,€2.00m
Dennis Johnsen,https://www.transfermarkt.com/dennis-johnsen/profil/spieler/406042,Left Winger,26,Norway,,,33,6,9,15,€3.50m
Mounir Chouiar,https://www.transfermarkt.com/mounir-chouiar/profil/spieler/355641,Left Winger,25,"France, Morocco",,,40,6,9,15,€3.00m
Emre Kılınç,https://www.transfermarkt.com/emre-kilinc/profil/spieler/208848,Left Winger,29,Türkiye,,,31,3,12,15,€1.80m
Josh Koroma,https://www.transfermarkt.com/josh-koroma/profil/spieler/429578,Left Winger,25,"Sierra Leone, England",,,39,12,2,14,€1.20m
Lukas Haraslin,https://www.transfermarkt.com/lukas-haraslin/profil/spieler/239941,Left Winger,28,Slovakia,,,22,11,3,14,€7.50m
Aleksandr Yushin,https://www.transfermarkt.com/aleksandr-yushin/profil/spieler/285064,Left Winger,29,Russia,,,30,11,3,14,€900k
Mendy Mamadou,https://www.transfermarkt.com/mendy-mamadou/profil/spieler/573111,Left Winger,25,Senegal,,,34,10,4,14,€600k
Harvey Barnes,https://www.transfermarkt.com/harvey-barnes/profil/spieler/398065,Left Winger,26,"England, Scotland",,,40,9,5,14,€35.00m
Emanuele Anastasia,https://www.transfermarkt.com/emanuele-anastasia/profil/spieler/350322,Left Winger,28,Italy,,,37,9,5,14,€250k
Keshi Anderson,https://www.transfermarkt.com/keshi-anderson/profil/spieler/353674,Left Winger,29,"England, Nigeria",,,42,7,7,14,€500k
Camillo Tavernelli,https://www.transfermarkt.com/camillo-tavernelli/profil/spieler/410655,Left Winger,24,Italy,,,35,7,7,14,€400k
Álex Berenguer,https://www.transfermarkt.com/alex-berenguer/profil/spieler/338425,Left Winger,28,Spain,,,39,6,8,14,€9.00m
Julián Bartolo,https://www.transfermarkt.com/julian-bartolo/profil/spieler/610570,Left Winger,28,"Argentina, Italy",,,28,6,8,14,€800k
Iñigo Vicente,https://www.transfermarkt.com/inigo-vicente/profil/spieler/335216,Left Winger,26,Spain,,,42,4,10,14,€3.00m
Asier Córdoba,https://www.transfermarkt.com/asier-cordoba/profil/spieler/505512,Left Winger,24,Spain,,,35,4,10,14,€250k
Marquinhos,https://www.transfermarkt.com/marquinhos/profil/spieler/516722,Left Winger,24,Brazil,,,36,2,12,14,€6.00m
Ali Aydemir,https://www.transfermarkt.com/ali-aydemir/profil/spieler/429041,Left Winger,28,Türkiye,,,36,13,0,13,€150k
Vito Leonetti,https://www.transfermarkt.com/vito-leonetti/profil/spieler/204480,Left Winger,30,Italy,,,26,12,1,13,€300k
Felipe Dorta,https://www.transfermarkt.com/felipe-dorta/profil/spieler/226067,Left Winger,28,"Austria, Brazil",,,34,12,1,13,€100k
Galeno,https://www.transfermarkt.com/galeno/profil/spieler/454121,Left Winger,26,"Brazil, Portugal",,,23,11,2,13,€24.00m
Mert Çapar,https://www.transfermarkt.com/mert-capar/profil/spieler/415979,Left Winger,26,Türkiye,,,31,11,2,13,€225k
Michal Provod,https://www.transfermarkt.com/michal-provod/profil/spieler/1164380,Left Winger,24,Czech Republic,,,28,11,2,13,-
Álvaro Bustos,https://www.transfermarkt.com/alvaro-bustos/profil/spieler/199324,Left Winger,29,Spain,,,36,10,3,13,€300k
Hasan Bilal,https://www.transfermarkt.com/hasan-bilal/profil/spieler/406295,Left Winger,26,Türkiye,,,34,10,3,13,€175k
Philip Otele,https://www.transfermarkt.com/philip-otele/profil/spieler/678655,Left Winger,25,Nigeria,,,21,9,4,13,€4.00m
Marvin Stefaniak,https://www.transfermarkt.com/marvin-stefaniak/profil/spieler/196421,Left Winger,29,Germany,,,29,9,4,13,€350k
Alfon González,https://www.transfermarkt.com/alfon-gonzalez/profil/spieler/357628,Left Winger,25,Spain,,,29,8,5,13,€5.00m
Juan Cruz,https://www.transfermarkt.com/juan-cruz/profil/spieler/585700,Left Winger,24,"Spain, Argentina",,,39,8,5,13,€5.00m
Théo Epailly,https://www.transfermarkt.com/theo-epailly/profil/spieler/395514,Left Winger,25,France,,,33,8,5,13,€400k
Serge Gnabry,https://www.transfermarkt.com/serge-gnabry/profil/spieler/159471,Left Winger,28,"Germany, Cote d'Ivoire",,,30,7,6,13,€22.00m
Baris Atik,https://www.transfermarkt.com/baris-atik/profil/spieler/161072,Left Winger,29,Germany,,,24,7,6,13,€1.00m
Alfredo Bifulco,https://www.transfermarkt.com/alfredo-bifulco/profil/spieler/286276,Left Winger,27,Italy,,,35,6,7,13,€200k
Dwight McNeil,https://www.transfermarkt.com/dwight-mcneil/profil/spieler/584769,Left Winger,24,"England, Jamaica",,,23,5,8,13,€25.00m
Eric Lanini,https://www.transfermarkt.com/eric-lanini/profil/spieler/199635,Left Winger,30,Italy,,,32,11,1,12,€400k
Luka Sliskovic,https://www.transfermarkt.com/luka-sliskovic/profil/spieler/262270,Left Winger,29,"Switzerland, Austria",,,27,11,1,12,€100k
Yasin Dülger,https://www.transfermarkt.com/yasin-dulger/profil/spieler/296919,Left Winger,28,Türkiye,,,29,11,1,12,-
Owusu,https://www.transfermarkt.com/owusu/profil/spieler/457782,Left Winger,27,Ghana,,,16,9,3,12,€400k
Adama Diakité,https://www.transfermarkt.com/adama-diakite/profil/spieler/808838,Left Winger,24,"France, Mali",,,35,8,4,12,€500k
Dominik Kother,https://www.transfermarkt.com/dominik-kother/profil/spieler/450253,Left Winger,24,Germany,,,34,7,5,12,€600k
Sofiane Diop,https://www.transfermarkt.com/sofiane-diop/profil/spieler/569389,Left Winger,24,"Morocco, France",,,31,6,6,12,€10.00m
Michal Doudera,https://www.transfermarkt.com/michal-doudera/profil/spieler/572795,Left Winger,24,Czech Republic,,,31,6,6,12,-
João Batxi,https://www.transfermarkt.com/joao-batxi/profil/spieler/514256,Left Winger,26,"Angola, Portugal",,,36,5,7,12,€5.00m
Kerim Frei,https://www.transfermarkt.com/kerim-frei/profil/spieler/146844,Left Winger,30,"Türkiye, Switzerland",,,33,5,7,12,€125k
Onur Toprak,https://www.transfermarkt.com/onur-toprak/profil/spieler/272079,Left Winger,28,"Türkiye, Germany",,,34,5,7,12,€125k
Robin Hack,https://www.transfermarkt.com/robin-hack/profil/spieler/284010,Left Winger,25,Germany,,,34,4,8,12,€12.00m
Borja Martínez,https://www.transfermarkt.com/borja-martinez/profil/spieler/245157,Left Winger,30,Spain,,,34,2,10,12,€200k
Iliman Ndiaye,https://www.transfermarkt.com/iliman-ndiaye/profil/spieler/623570,Left Winger,24,"Senegal, France",,,37,11,0,11,€22.00m
Sedat Şahintürk,https://www.transfermarkt.com/sedat-sahinturk/profil/spieler/388210,Left Winger,28,Türkiye,,,30,11,0,11,€150k
Paulo Vítor,https://www.transfermarkt.com/paulo-vitor/profil/spieler/524572,Left Winger,25,Brazil,,,26,9,2,11,€550k
Joaquín Muñoz,https://www.transfermarkt.com/joaquin-munoz/profil/spieler/396334,Left Winger,25,Spain,,,37,8,3,11,€1.00m
Paolo Arrivas,https://www.transfermarkt.com/paolo-arrivas/profil/spieler/377431,Left Winger,26,"Belgium, Italy",,,32,8,3,11,€150k
Rúben Pina,https://www.transfermarkt.com/ruben-pina/profil/spieler/647132,Left Winger,24,"Cape Verde, Portugal",,,32,7,4,11,€600k
Damien Durand,https://www.transfermarkt.com/damien-durand/profil/spieler/792328,Left Winger,28,France,,,36,7,4,11,€500k
Carlos Doncel,https://www.transfermarkt.com/carlos-doncel/profil/spieler/379530,Left Winger,27,Spain,,,37,7,4,11,€300k
Nicolas Moumi Ngamaleu,https://www.transfermarkt.com/nicolas-moumi-ngamaleu/profil/spieler/266768,Left Winger,29,Cameroon,,,30,6,5,11,€4.00m
Billal Messaoudi,https://www.transfermarkt.com/billal-messaoudi/profil/spieler/545400,Left Winger,26,Algeria,,,33,6,5,11,€600k
Nicolò Bruschi,https://www.transfermarkt.com/nicolo-bruschi/profil/spieler/355156,Left Winger,25,Italy,,,32,5,6,11,€325k
Mimoun Mahi,https://www.transfermarkt.com/mimoun-mahi/profil/spieler/216815,Left Winger,30,"Morocco, Netherlands",,,23,5,6,11,€250k
Akmal Bakhtiyarov,https://www.transfermarkt.com/akmal-bakhtiyarov/profil/spieler/413688,Left Winger,26,Kazakhstan,,,36,5,6,11,€225k
Patrik Kavalir,https://www.transfermarkt.com/patrik-kavalir/profil/spieler/574978,Left Winger,27,Czech Republic,,,32,4,7,11,-
Mathias Pereira Lage,https://www.transfermarkt.com/mathias-pereira-lage/profil/spieler/424072,Left Winger,27,"Portugal, France",,,33,3,8,11,€2.50m
Thibaud Verlinden,https://www.transfermarkt.com/thibaud-verlinden/profil/spieler/338673,Left Winger,24,"Belgium, France",,,29,3,8,11,€1.70m
Ludovico D'Orazio,https://www.transfermarkt.com/ludovico-dorazio/profil/spieler/370435,Left Winger,24,Italy,,,35,3,8,11,€150k
Tiago-Marti Escorza,https://www.transfermarkt.com/tiago-marti-escorza/profil/spieler/402056,Left Winger,26,France,,,30,2,9,11,€250k
Ali Sahintürk,https://www.transfermarkt.com/ali-sahinturk/profil/spieler/340735,Left Winger,24,Austria,,,17,10,0,10,-
Joshua Mees,https://www.transfermarkt.com/joshua-mees/profil/spieler/196815,Left Winger,28,Germany,,,29,9,1,10,€800k
Kevin Biondi,https://www.transfermarkt.com/kevin-biondi/profil/spieler/499678,Left Winger,25,Italy,,,34,8,2,10,€200k
Philipp Zuna,https://www.transfermarkt.com/philipp-zuna/profil/spieler/317459,Left Winger,27,Austria,,,31,8,2,10,-
Aleksandr Rudenko,https://www.transfermarkt.com/aleksandr-rudenko/profil/spieler/318468,Left Winger,25,Russia,,,35,7,3,10,€1.00m
Didier Lamkel Zé,https://www.transfermarkt.com/didier-lamkel-ze/profil/spieler/442320,Left Winger,27,Cameroon,,,21,7,3,10,€500k
Oktay Balcı,https://www.transfermarkt.com/oktay-balci/profil/spieler/356136,Left Winger,26,Türkiye,,,30,7,3,10,€125k
Kingsley Coman,https://www.transfermarkt.com/kingsley-coman/profil/spieler/243714,Left Winger,28,"France, Guadeloupe",,,30,6,4,10,€30.00m
Pedro Gonçalves,https://www.transfermarkt.com/pedro-goncalves/profil/spieler/426620,Left Winger,26,Portugal,,,17,6,4,10,€30.00m
Takumi Minamino,https://www.transfermarkt.com/takumi-minamino/profil/spieler/165793,Left Winger,29,Japan,,,34,6,4,10,€15.00m
Euller,https://www.transfermarkt.com/euller/profil/spieler/258624,Left Winger,29,Brazil,,,17,6,4,10,€550k
Jacky Donkor,https://www.transfermarkt.com/jacky-donkor/profil/spieler/553217,Left Winger,25,"Belgium, Ghana",,,34,6,4,10,€400k
Amadou Ciss,https://www.transfermarkt.com/amadou-ciss/profil/spieler/526784,Left Winger,25,Senegal,,,31,6,4,10,€325k
Raffaele Russo,https://www.transfermarkt.com/raffaele-russo/profil/spieler/393652,Left Winger,25,Italy,,,33,6,4,10,€250k
Des Kunst,https://www.transfermarkt.com/des-kunst/profil/spieler/450539,Left Winger,24,Netherlands,,,29,6,4,10,-
Boy Spijkerman,https://www.transfermarkt.com/boy-spijkerman/profil/spieler/577920,Left Winger,24,Netherlands,,,32,6,4,10,-
Gonçalo Guedes,https://www.transfermarkt.com/goncalo-guedes/profil/spieler/225122,Left Winger,27,Portugal,,,33,5,5,10,€11.00m
Ephron Mason-Clark,https://www.transfermarkt.com/ephron-mason-clark/profil/spieler/466637,Left Winger,24,England,,,32,5,5,10,€6.50m
Jérémy Livolant,https://www.transfermarkt.com/jeremy-livolant/profil/spieler/324806,Left Winger,26,France,,,29,5,5,10,€1.50m
João Camacho,https://www.transfermarkt.com/joao-camacho/profil/spieler/268732,Left Winger,30,Portugal,,,37,5,5,10,€650k
Anthony Limbombe,https://www.transfermarkt.com/anthony-limbombe/profil/spieler/140803,Left Winger,29,"Belgium, DR Congo",,,22,5,5,10,€450k
Alimami Gory,https://www.transfermarkt.com/alimami-gory/profil/spieler/435492,Left Winger,27,"France, Mali",,,31,4,6,10,€1.50m
Mario Engels,https://www.transfermarkt.com/mario-engels/profil/spieler/93637,Left Winger,30,Germany,,,35,4,6,10,€500k
Evgeniy Pesikov,https://www.transfermarkt.com/evgeniy-pesikov/profil/spieler/524178,Left Winger,25,Russia,,,31,4,6,10,€250k
Farid El Melali,https://www.transfermarkt.com/farid-el-melali/profil/spieler/425400,Left Winger,26,Algeria,,,35,3,7,10,€3.50m
İbrahim Can Köse,https://www.transfermarkt.com/ibrahim-can-kose/profil/spieler/294069,Left Winger,25,Türkiye,,,32,9,0,9,€150k
Nicolai Bösch,https://www.transfermarkt.com/nicolai-bosch/profil/spieler/307732,Left Winger,26,Austria,,,17,9,0,9,-
Dieudonné Lwangi,https://www.transfermarkt.com/dieudonne-lwangi/profil/spieler/332864,Left Winger,30,Belgium,,,21,9,0,9,-
Chico Banza,https://www.transfermarkt.com/chico-banza/profil/spieler/574352,Left Winger,25,Angola,,,30,8,1,9,€800k
Kristoffer Peterson,https://www.transfermarkt.com/kristoffer-peterson/profil/spieler/186704,Left Winger,29,Sweden,,,32,7,2,9,€800k
Benjamin Gomel,https://www.transfermarkt.com/benjamin-gomel/profil/spieler/566371,Left Winger,26,France,,,27,7,2,9,€400k
Ignacio Aliseda,https://www.transfermarkt.com/ignacio-aliseda/profil/spieler/604616,Left Winger,24,Argentina,,,21,6,3,9,€3.50m
Mohammad Mohebi,https://www.transfermarkt.com/mohammad-mohebi/profil/spieler/603149,Left Winger,25,Iran,,,20,6,3,9,€3.00m
Tedi Cara,https://www.transfermarkt.com/tedi-cara/profil/spieler/646153,Left Winger,24,Albania,,,14,6,3,9,€1.00m
Francis Ezeh,https://www.transfermarkt.com/francis-ezeh/profil/spieler/709830,Left Winger,26,Nigeria,,,17,6,3,9,€700k
Juan Camilo Salazar,https://www.transfermarkt.com/juan-camilo-salazar/profil/spieler/572048,Left Winger,27,Colombia,,,26,6,3,9,€500k
Papalelé,https://www.transfermarkt.com/papalele/profil/spieler/723415,Left Winger,26,Cape Verde,,,27,6,3,9,€200k
Brian Mansilla,https://www.transfermarkt.com/brian-mansilla/profil/spieler/373374,Left Winger,27,Argentina,,,29,5,4,9,€1.80m
